Points, Time, Busts, Cards
600, 0:00, 3, 32
400, 0:00, 3, 17
600, 0:01, 3, 23
200, 0:00, 3, 28
0, 0:00, 3, 36
1200, 0:01, 3, 18
1000, 0:01, 3, 18
0, 0:01, 3, 36
400, 0:01, 3, 23
1400, 0:02, 3, 18
400, 0:00, 3, 34
200, 0:01, 3, 31
200, 0:01, 3, 28
800, 0:01, 3, 19
0, 0:01, 3, 30
600, 0:01, 3, 32
200, 0:01, 3, 30
800, 0:01, 3, 27
0, 0:01, 3, 35
0, 0:01, 3, 31
0, 0:01, 3, 27
0, 0:02, 3, 21
800, 0:02, 3, 18
600, 0:03, 3, 20
0, 0:00, 3, 37
600, 0:02, 3, 30
600, 0:01, 3, 35
1200, 0:01, 3, 26
0, 0:01, 3, 32
600, 0:01, 3, 30
1400, 0:03, 3, 15
0, 0:00, 3, 38
0, 0:01, 3, 33
0, 0:01, 3, 40
400, 0:02, 3, 31
200, 0:02, 3, 29
0, 0:00, 3, 36
1000, 0:02, 3, 28
400, 0:01, 3, 26
200, 0:01, 3, 37
1200, 0:02, 3, 27
600, 0:02, 3, 28
600, 0:02, 3, 30
400, 0:02, 3, 31
400, 0:01, 3, 36
400, 0:01, 3, 36
0, 0:02, 3, 36
800, 0:03, 3, 21
1200, 0:03, 3, 21
0, 0:04, 3, 28
1000, 0:02, 3, 25
200, 0:02, 3, 31
800, 0:02, 3, 33
800, 0:06, 3, 9
800, 0:03, 3, 26
600, 0:03, 3, 24
600, 0:01, 3, 38
0, 0:01, 3, 39
1400, 0:02, 3, 33
0, 0:02, 3, 29
400, 0:03, 3, 28
0, 0:06, 3, 24
0, 0:01, 3, 37
200, 0:04, 3, 21
0, 0:01, 3, 33
0, 0:02, 3, 37
1200, 0:03, 3, 30
800, 0:03, 3, 25
600, 0:05, 3, 17
1800, 0:04, 3, 27
400, 0:03, 3, 32
2000, 0:06, 3, 12
800, 0:03, 3, 28
600, 0:03, 3, 31
400, 0:02, 3, 28
0, 0:03, 3, 28
0, 0:01, 3, 38
200, 0:04, 3, 28
0, 0:02, 3, 37
1000, 0:04, 3, 28
0, 0:03, 3, 28
200, 0:02, 3, 36
400, 0:07, 3, 26
600, 0:04, 3, 27
1200, 0:06, 3, 14
200, 0:05, 3, 30
400, 0:04, 3, 29
1600, 0:08, 3, 3
600, 0:05, 3, 28
1000, 0:06, 3, 25
200, 0:03, 3, 35
400, 0:06, 3, 24
0, 0:04, 3, 26
400, 0:05, 3, 28
600, 0:04, 3, 28
0, 0:04, 3, 32
1000, 0:11, 3, 4
800, 0:12, 3, 1
400, 0:05, 3, 31
0, 0:06, 3, 20
0, 0:02, 3, 35
200, 0:06, 3, 32
400, 0:06, 3, 29
1800, 0:08, 3, 17
600, 0:05, 3, 31
200, 0:04, 3, 30
200, 0:04, 3, 28
600, 0:04, 3, 29
1000, 0:08, 3, 23
600, 0:06, 3, 29
400, 0:05, 3, 25
600, 0:04, 3, 33
200, 0:03, 3, 33
400, 0:05, 3, 28
400, 0:04, 3, 29
200, 0:08, 3, 22
0, 0:03, 3, 35
1200, 0:05, 3, 25
400, 0:07, 3, 26
0, 0:04, 3, 37
0, 0:07, 3, 26
400, 0:03, 3, 37
1000, 0:06, 3, 24
1000, 0:09, 3, 14
400, 0:04, 3, 34
800, 0:06, 3, 28
200, 0:02, 3, 40
0, 0:02, 3, 40
0, 0:03, 3, 37
0, 0:04, 3, 38
600, 0:09, 3, 23
1600, 0:09, 3, 17
0, 0:03, 3, 37
200, 0:03, 3, 39
1600, 0:11, 3, 7
0, 0:07, 3, 26
0, 0:06, 3, 35
0, 0:06, 3, 29
0, 0:03, 3, 37
400, 0:05, 3, 33
0, 0:03, 3, 38
0, 0:07, 3, 24
0, 0:03, 3, 33
200, 0:04, 3, 30
400, 0:04, 3, 37
600, 0:03, 3, 33
600, 0:05, 3, 31
2200, 0:10, 3, 9
600, 0:09, 3, 24
1000, 0:07, 3, 23
800, 0:08, 3, 30
400, 0:13, 3, 18
0, 0:06, 3, 26
0, 0:09, 3, 27
400, 0:03, 3, 36
400, 0:08, 3, 24
1400, 0:11, 3, 18
0, 0:02, 3, 39
400, 0:05, 3, 33
0, 0:06, 3, 34
0, 0:09, 3, 20
600, 0:08, 3, 24
400, 0:07, 3, 30
0, 0:04, 3, 37
400, 0:04, 3, 35
200, 0:09, 3, 28
0, 0:06, 3, 38
800, 0:11, 3, 15
200, 0:08, 3, 25
600, 0:04, 3, 35
400, 0:07, 3, 28
400, 0:09, 3, 20
0, 0:05, 3, 35
0, 0:07, 3, 30
800, 0:07, 3, 28
0, 0:04, 3, 36
0, 0:05, 3, 34
400, 0:08, 3, 24
200, 0:08, 3, 24
800, 0:04, 3, 30
200, 0:04, 3, 37
0, 0:05, 3, 37
200, 0:05, 3, 37
400, 0:07, 3, 33
1000, 0:12, 3, 16
1200, 0:08, 3, 25
400, 0:12, 3, 22
0, 0:06, 3, 29
200, 0:10, 3, 27
0, 0:06, 3, 29
400, 0:06, 3, 33
0, 0:06, 3, 36
400, 0:12, 3, 24
0, 0:03, 3, 38
0, 0:07, 3, 38
1200, 0:06, 3, 29
1200, 0:06, 3, 25
200, 0:06, 3, 31
1600, 0:14, 3, 16
1400, 0:12, 3, 17
1400, 0:11, 3, 21
200, 0:09, 3, 23
0, 0:09, 3, 31
400, 0:11, 3, 29
0, 0:10, 3, 30
1600, 0:05, 3, 27
1200, 0:06, 3, 26
400, 0:07, 3, 33
400, 0:05, 3, 31
600, 0:09, 3, 30
1200, 0:10, 3, 30
400, 0:16, 3, 16
400, 0:05, 3, 36
400, 0:06, 3, 26
400, 0:13, 3, 29
1000, 0:18, 3, 12
200, 0:14, 3, 22
600, 0:08, 3, 32
400, 0:11, 3, 24
200, 0:05, 3, 40
600, 0:11, 3, 27
400, 0:07, 3, 34
200, 0:08, 3, 33
0, 0:08, 3, 38
1000, 0:06, 3, 29
400, 0:04, 3, 37
600, 0:08, 3, 31
1200, 0:20, 3, 18
0, 0:10, 3, 25
800, 0:07, 3, 24
200, 0:07, 3, 35
0, 0:07, 3, 36
800, 0:10, 3, 30
400, 0:07, 3, 32
200, 0:04, 3, 38
0, 0:16, 3, 21
200, 0:14, 3, 22
400, 0:16, 3, 20
400, 0:11, 3, 28
400, 0:07, 3, 35
1000, 0:10, 3, 31
0, 0:13, 3, 30
600, 0:11, 3, 32
200, 0:09, 3, 33
400, 0:19, 3, 23
600, 0:08, 3, 28
800, 0:07, 3, 31
400, 0:09, 3, 37
1200, 0:10, 3, 29
1400, 0:14, 3, 15
0, 0:01, 3, 25
400, 0:00, 3, 30
1000, 0:00, 3, 28
1000, 0:01, 3, 18
800, 0:01, 3, 23
0, 0:00, 3, 36
1200, 0:00, 3, 23
1000, 0:00, 3, 26
1400, 0:00, 3, 18
400, 0:01, 3, 27
200, 0:00, 3, 28
1600, 0:01, 3, 16
0, 0:00, 3, 35
200, 0:00, 3, 27
0, 0:00, 3, 38
1200, 0:00, 3, 25
600, 0:01, 3, 26
0, 0:00, 3, 33
600, 0:01, 3, 18
400, 0:01, 3, 22
400, 0:00, 3, 37
0, 0:00, 3, 40
1200, 0:01, 3, 13
800, 0:01, 3, 19
0, 0:00, 3, 37
0, 0:00, 3, 38
0, 0:01, 3, 27
1000, 0:00, 3, 25
200, 0:00, 3, 36
1400, 0:00, 3, 33
0, 0:00, 3, 39
0, 0:00, 3, 34
400, 0:00, 3, 26
0, 0:00, 3, 35
0, 0:00, 3, 30
400, 0:00, 3, 34
2600, 0:00, 3, 22
800, 0:00, 3, 35
200, 0:00, 3, 37
400, 0:01, 3, 19
200, 0:00, 3, 33
400, 0:00, 3, 30
600, 0:00, 3, 29
0, 0:00, 3, 36
0, 0:00, 3, 35
200, 0:00, 3, 30
600, 0:00, 3, 30
200, 0:00, 3, 34
200, 0:01, 3, 25
1600, 0:01, 3, 11
1400, 0:01, 3, 19
1000, 0:01, 3, 8
0, 0:00, 3, 34
400, 0:00, 3, 33
200, 0:01, 3, 10
600, 0:00, 3, 28
1000, 0:00, 3, 36
400, 0:00, 3, 25
400, 0:00, 3, 35
400, 0:01, 3, 20
0, 0:00, 3, 41
0, 0:00, 3, 37
0, 0:00, 3, 27
0, 0:00, 3, 30
400, 0:01, 3, 22
800, 0:00, 3, 33
0, 0:00, 3, 36
1000, 0:00, 3, 33
200, 0:00, 3, 28
600, 0:01, 3, 9
200, 0:00, 3, 37
200, 0:01, 3, 31
600, 0:01, 3, 25
200, 0:00, 3, 33
2000, 0:01, 3, 17
0, 0:00, 3, 32
0, 0:00, 3, 40
0, 0:00, 3, 37
1200, 0:00, 3, 26
1200, 0:01, 3, 6
1200, 0:01, 3, 29
400, 0:00, 3, 31
1200, 0:01, 3, 13
400, 0:00, 3, 35
400, 0:00, 3, 34
0, 0:00, 3, 37
400, 0:00, 3, 27
0, 0:00, 3, 36
400, 0:00, 3, 32
0, 0:00, 3, 33
400, 0:00, 3, 36
1000, 0:01, 3, 23
1200, 0:01, 3, 26
600, 0:01, 3, 24
1000, 0:00, 3, 28
800, 0:01, 3, 22
1000, 0:00, 3, 27
200, 0:00, 3, 34
600, 0:00, 3, 32
1400, 0:00, 3, 28
200, 0:00, 3, 35
600, 0:00, 3, 33
1800, 0:01, 3, 13
0, 0:00, 3, 33
0, 0:00, 3, 32
1400, 0:01, 3, 22
400, 0:00, 3, 33
200, 0:00, 3, 31
600, 0:01, 3, 20
1600, 0:01, 3, 20
1200, 0:01, 3, 28
1000, 0:00, 3, 31
1600, 0:01, 3, 17
0, 0:00, 3, 37
400, 0:00, 3, 34
600, 0:01, 3, 24
400, 0:00, 3, 35
200, 0:00, 3, 29
200, 0:00, 3, 34
400, 0:00, 3, 39
400, 0:00, 3, 25
0, 0:00, 3, 28
600, 0:01, 3, 22
800, 0:01, 3, 24
600, 0:00, 3, 38
400, 0:00, 3, 34
1600, 0:01, 3, 22
200, 0:01, 3, 10
200, 0:00, 3, 39
200, 0:00, 3, 32
1400, 0:01, 3, 21
800, 0:01, 3, 25
0, 0:00, 3, 34
0, 0:00, 3, 38
0, 0:00, 3, 40
400, 0:00, 3, 38
1400, 0:01, 3, 17
0, 0:00, 3, 35
200, 0:00, 3, 36
400, 0:00, 3, 29
1000, 0:01, 3, 16
1000, 0:00, 3, 33
400, 0:01, 3, 21
1400, 0:00, 3, 28
600, 0:00, 3, 31
1000, 0:01, 3, 26
400, 0:00, 3, 28
1000, 0:01, 3, 22
1200, 0:00, 3, 27
0, 0:01, 3, 27
800, 0:01, 3, 26
1000, 0:01, 3, 22
200, 0:01, 3, 17
200, 0:00, 3, 37
0, 0:00, 3, 40
200, 0:01, 3, 26
0, 0:00, 3, 32
800, 0:01, 3, 17
200, 0:00, 3, 28
0, 0:00, 3, 27
600, 0:01, 3, 15
400, 0:01, 3, 16
1800, 0:01, 3, 11
600, 0:01, 3, 23
400, 0:00, 3, 37
1000, 0:00, 3, 26
400, 0:00, 3, 35
600, 0:00, 3, 33
200, 0:00, 3, 31
0, 0:00, 3, 37
400, 0:01, 3, 21
600, 0:00, 3, 36
400, 0:00, 3, 31
1000, 0:00, 3, 31
1000, 0:01, 3, 22
800, 0:00, 3, 25
600, 0:01, 3, 18
800, 0:01, 3, 23
0, 0:00, 3, 36
600, 0:00, 3, 36
800, 0:00, 3, 34
400, 0:00, 3, 32
1200, 0:00, 3, 40
0, 0:00, 3, 33
1600, 0:01, 3, 29
0, 0:00, 3, 31
1800, 0:01, 3, 16
1800, 0:00, 3, 27
0, 0:00, 3, 36
600, 0:00, 3, 31
0, 0:00, 3, 41
600, 0:00, 3, 30
200, 0:01, 3, 22
0, 0:01, 3, 28
1000, 0:01, 3, 24
800, 0:01, 3, 16
200, 0:00, 3, 31
400, 0:02, 3, 10
800, 0:01, 3, 22
0, 0:00, 3, 37
800, 0:00, 3, 31
0, 0:00, 3, 33
0, 0:01, 3, 28
0, 0:00, 3, 34
1400, 0:01, 3, 27
200, 0:00, 3, 31
0, 0:00, 3, 37
200, 0:01, 3, 19
200, 0:01, 3, 24
200, 0:01, 3, 23
1600, 0:01, 3, 9
200, 0:00, 3, 37
1400, 0:01, 3, 19
200, 0:00, 3, 34
1000, 0:01, 3, 23
400, 0:01, 3, 23
200, 0:00, 3, 33
600, 0:00, 3, 33
0, 0:00, 3, 37
600, 0:00, 3, 28
1000, 0:01, 3, 25
400, 0:00, 3, 37
0, 0:00, 3, 37
0, 0:01, 3, 22
200, 0:01, 3, 25
0, 0:00, 3, 39
200, 0:00, 3, 38
200, 0:00, 3, 33
400, 0:00, 3, 33
0, 0:00, 3, 29
0, 0:00, 3, 35
1200, 0:02, 3, 7
800, 0:01, 3, 20
1400, 0:00, 3, 28
800, 0:01, 3, 20
2800, 0:01, 3, 10
0, 0:00, 3, 34
600, 0:00, 3, 34
200, 0:00, 3, 38
0, 0:00, 3, 36
600, 0:01, 3, 25
0, 0:00, 3, 38
400, 0:00, 3, 32
400, 0:00, 3, 31
0, 0:01, 3, 33
0, 0:00, 3, 37
1000, 0:00, 3, 33
2200, 0:01, 3, 11
600, 0:00, 3, 37
200, 0:00, 3, 36
400, 0:00, 3, 34
0, 0:00, 3, 37
0, 0:00, 3, 33
1000, 0:00, 3, 27
600, 0:01, 3, 31
800, 0:00, 3, 24
0, 0:00, 3, 31
800, 0:01, 3, 20
0, 0:00, 3, 35
400, 0:00, 3, 28
1600, 0:01, 3, 25
200, 0:00, 3, 34
400, 0:01, 3, 25
1200, 0:00, 3, 33
0, 0:00, 3, 28
0, 0:01, 3, 32
200, 0:00, 3, 22
1000, 0:00, 3, 24
800, 0:00, 3, 30
200, 0:00, 3, 31
400, 0:00, 3, 34
800, 0:00, 3, 24
200, 0:00, 3, 31
800, 0:00, 3, 28
1400, 0:00, 3, 24
0, 0:00, 3, 24
1200, 0:01, 3, 17
1200, 0:01, 3, 10
600, 0:00, 3, 33
800, 0:00, 3, 28
600, 0:01, 3, 25
0, 0:00, 3, 36
800, 0:00, 3, 32
400, 0:00, 3, 29
400, 0:00, 3, 31
1200, 0:00, 3, 23
400, 0:01, 3, 28
400, 0:00, 3, 32
200, 0:02, 3, 5
1000, 0:01, 3, 25
600, 0:01, 3, 24
2000, 0:02, 3, 7
400, 0:00, 3, 30
400, 0:00, 3, 37
400, 0:00, 3, 32
1000, 0:00, 3, 32
800, 0:01, 3, 15
0, 0:00, 3, 30
1400, 0:00, 3, 23
0, 0:00, 3, 26
0, 0:01, 3, 18
0, 0:00, 3, 37
1400, 0:01, 3, 25
0, 0:00, 3, 35
600, 0:00, 3, 31
0, 0:01, 3, 33
0, 0:00, 3, 38
0, 0:00, 3, 36
400, 0:00, 3, 34
0, 0:00, 3, 31
200, 0:00, 3, 36
800, 0:00, 3, 35
1000, 0:01, 3, 14
200, 0:00, 3, 33
200, 0:00, 3, 27
600, 0:01, 3, 21
1200, 0:01, 3, 23
800, 0:01, 3, 23
400, 0:01, 3, 14
400, 0:01, 3, 27
400, 0:00, 3, 34
1400, 0:00, 3, 28
0, 0:00, 3, 36
1000, 0:01, 3, 21
200, 0:00, 3, 28
800, 0:01, 3, 21
0, 0:00, 3, 38
600, 0:00, 3, 24
1000, 0:00, 3, 33
400, 0:00, 3, 34
1000, 0:01, 3, 19
200, 0:00, 3, 28
200, 0:00, 3, 30
1000, 0:00, 3, 31
1000, 0:00, 3, 21
400, 0:00, 3, 29
0, 0:00, 3, 38
0, 0:00, 3, 39
400, 0:01, 3, 20
2200, 0:01, 3, 18
1200, 0:02, 3, 10
200, 0:01, 3, 28
1000, 0:00, 3, 30
0, 0:00, 3, 38
1400, 0:01, 3, 13
400, 0:01, 3, 26
400, 0:01, 3, 18
600, 0:00, 3, 34
0, 0:00, 3, 36
200, 0:01, 3, 36
400, 0:00, 3, 31
200, 0:00, 3, 34
200, 0:01, 3, 25
800, 0:00, 3, 28
0, 0:00, 3, 32
400, 0:00, 3, 36
1000, 0:00, 3, 32
800, 0:01, 3, 24
0, 0:00, 3, 39
600, 0:00, 3, 31
1000, 0:00, 3, 38
0, 0:00, 3, 37
1200, 0:00, 3, 26
600, 0:01, 3, 23
600, 0:00, 3, 26
1800, 0:01, 3, 14
400, 0:00, 3, 31
0, 0:00, 3, 42
0, 0:00, 3, 33
200, 0:00, 3, 26
400, 0:00, 3, 35
0, 0:00, 3, 29
0, 0:00, 3, 40
200, 0:00, 3, 28
1200, 0:00, 3, 21
0, 0:00, 3, 30
0, 0:00, 3, 41
0, 0:00, 3, 38
0, 0:00, 3, 38
400, 0:00, 3, 35
1000, 0:00, 3, 28
1200, 0:01, 3, 10
2200, 0:01, 3, 12
600, 0:00, 3, 33
1000, 0:01, 3, 22
0, 0:00, 3, 36
400, 0:00, 3, 27
1000, 0:01, 3, 23
3200, 0:01, 3, 13
400, 0:00, 3, 32
0, 0:00, 3, 36
0, 0:00, 3, 35
1000, 0:00, 3, 29
0, 0:00, 3, 40
0, 0:01, 3, 27
1200, 0:00, 3, 25
400, 0:00, 3, 27
0, 0:00, 3, 35
400, 0:00, 3, 33
1200, 0:00, 3, 25
800, 0:00, 3, 25
200, 0:00, 3, 27
1800, 0:01, 3, 13
600, 0:00, 3, 27
1000, 0:01, 3, 25
0, 0:01, 3, 28
800, 0:00, 3, 27
0, 0:00, 3, 36
0, 0:01, 3, 22
0, 0:00, 3, 32
200, 0:01, 3, 18
1200, 0:00, 3, 22
400, 0:00, 3, 31
200, 0:01, 3, 26
600, 0:00, 3, 31
600, 0:00, 3, 34
200, 0:00, 3, 32
1800, 0:00, 3, 36
0, 0:00, 3, 37
600, 0:00, 3, 27
0, 0:00, 3, 33
0, 0:00, 3, 34
0, 0:00, 3, 34
800, 0:01, 3, 22
1000, 0:01, 3, 20
800, 0:00, 3, 29
800, 0:01, 3, 18
1000, 0:01, 3, 24
600, 0:00, 3, 27
600, 0:00, 3, 30
1600, 0:01, 3, 17
1600, 0:01, 3, 15
1000, 0:01, 3, 25
200, 0:01, 3, 17
1800, 0:01, 3, 18
0, 0:00, 3, 33
0, 0:00, 3, 35
0, 0:00, 3, 30
1400, 0:01, 3, 19
800, 0:00, 3, 26
600, 0:00, 3, 25
800, 0:00, 3, 31
600, 0:00, 3, 30
800, 0:00, 3, 32
400, 0:00, 3, 35
200, 0:00, 3, 33
400, 0:00, 3, 29
200, 0:00, 3, 38
1000, 0:02, 3, 3
200, 0:00, 3, 35
600, 0:01, 3, 28
600, 0:00, 3, 35
0, 0:00, 3, 36
800, 0:00, 3, 29
0, 0:00, 3, 36
0, 0:01, 3, 27
800, 0:01, 3, 25
1400, 0:00, 3, 34
200, 0:00, 3, 21
800, 0:01, 3, 24
600, 0:00, 3, 32
0, 0:00, 3, 38
0, 0:01, 3, 38
0, 0:00, 3, 27
1000, 0:00, 3, 32
0, 0:00, 3, 29
0, 0:00, 3, 39
0, 0:00, 3, 36
600, 0:00, 3, 32
